 County Name ,FIPS #, County # ,Public Health Region (11),Health Service Region (8),Metropolitan Statistical Area (MSA),Metropolitan Divisions (MD),Metro Area (82),NCHS Urban Rural Classification (2006),NCHS Urban Rural Classification (2013),Border 32 (La Paz Agreement),Border 15
 Runnels ,399, 200 ,2,2/3,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Rusk ,401, 201 ,4,4/5N,Longview,--,Metro,Small Metro,Small Metro,Non-Border,Non-Border
 Sabine ,403, 202 ,5,4/5N,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 San Augustine ,405, 203 ,5,4/5N,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 San Jacinto ,407, 204 ,5,4/5N,--,--,Non-Metro,Large Fringe Metro,Non-core,Non-Border,Non-Border
 San Patricio ,409, 205 ,11,11,Corpus Christi,--,Metro,Medium Metro,Medium Metro,Non-Border,Non-Border
 San Saba ,411, 206 ,7,7,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Schleicher ,413, 207 ,9,9/10,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Scurry ,415, 208 ,2,2/3,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Shackelford ,417, 209 ,2,2/3,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Shelby ,419, 210 ,5,4/5N,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Sherman ,421, 211 ,1,1,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Smith ,423, 212 ,4,4/5N,Tyler,--,Metro,Small Metro,Small Metro,Non-Border,Non-Border
 Somervell ,425, 213 ,3,2/3,Dallas-Fort Worth-Arlington,Fort Worth-Arlington MD,Metro,Micropolitan,Large Fringe Metro,Non-Border,Non-Border
 Starr ,427, 214 ,11,11,--,--,Non-Metro,Micropolitan,Micropolitan,Border,Border
 Stephens ,429, 215 ,2,2/3,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Sterling ,431, 216 ,9,9/10,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Stonewall ,433, 217 ,2,2/3,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Sutton ,435, 218 ,9,9/10,--,--,Non-Metro,Noncore,Non-core,Border,Non-Border
 Swisher ,437, 219 ,1,1,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Tarrant ,439, 220 ,3,2/3,Dallas-Fort Worth-Arlington,Fort Worth-Arlington MD,Metro,Large Central Metro,Large Central Metro,Non-Border,Non-Border
 Taylor ,441, 221 ,2,2/3,Abilene,--,Metro,Small Metro,Small Metro,Non-Border,Non-Border
 Terrell ,443, 222 ,9,9/10,--,--,Non-Metro,Noncore,Non-core,Border,Border
 Terry ,445, 223 ,1,1,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Throckmorton ,447, 224 ,2,2/3,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Titus ,449, 225 ,4,4/5N,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Tom Green ,451, 226 ,9,9/10,San Angelo,--,Metro,Small Metro,Small Metro,Non-Border,Non-Border
 Travis ,453, 227 ,7,7,Austin-Round Rock,--,Metro,Large Central Metro,Large Central Metro,Non-Border,Non-Border
 Trinity ,455, 228 ,5,4/5N,--,--,Non-Metro,Noncore,Micropolitan,Non-Border,Non-Border
 Tyler ,457, 229 ,5,4/5N,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Upshur ,459, 230 ,4,4/5N,Longview,--,Metro,Small Metro,Small Metro,Non-Border,Non-Border
 Upton ,461, 231 ,9,9/10,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Uvalde ,463, 232 ,8,8,--,--,Non-Metro,Micropolitan,Micropolitan,Border,Non-Border
 Val Verde ,465, 233 ,8,8,--,--,Non-Metro,Micropolitan,Micropolitan,Border,Border
 Van Zandt ,467, 234 ,4,4/5N,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Victoria ,469, 235 ,8,8,Victoria,--,Metro,Small Metro,Small Metro,Non-Border,Non-Border
 Walker ,471, 236 ,6,6/5S,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Waller ,473, 237 ,6,6/5S,Houston-The Woodlands-Sugar Land,--,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
 Ward ,475, 238 ,9,9/10,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Washington ,477, 239 ,7,7,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Webb ,479, 240 ,11,11,Laredo,--,Metro,Small Metro,Medium Metro,Border,Border
 Wharton ,481, 241 ,6,6/5S,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Wheeler ,483, 242 ,1,1,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Wichita ,485, 243 ,2,2/3,Wichita Falls,--,Metro,Small Metro,Small Metro,Non-Border,Non-Border
 Wilbarger ,487, 244 ,2,2/3,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Willacy ,489, 245 ,11,11,--,--,Non-Metro,Micropolitan,Micropolitan,Border,Border
 Williamson ,491, 246 ,7,7,Austin-Round Rock,--,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
 Wilson ,493, 247 ,8,8,San Antonio-New Braunfels,--,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
 Winkler ,495, 248 ,9,9/10,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Wise ,497, 249 ,3,2/3,Dallas-Fort Worth-Arlington,Fort Worth-Arlington MD,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
 Wood ,499, 250 ,4,4/5N,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Yoakum ,501, 251 ,1,1,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Young ,503, 252 ,2,2/3,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Zapata ,505, 253 ,11,11,--,--,Non-Metro,Noncore,Micropolitan,Border,Border
 Zavala ,507, 254 ,8,8,--,--,Non-Metro,Noncore,Non-core,Border,Non-Border
Back to CHS Useful Information,,,,,,,,,,,
End of Worksheet,,,,,,,,,,,
