 County Name ,FIPS #, County # ,Public Health Region (11),Health Service Region (8),Metropolitan Statistical Area (MSA),Metropolitan Divisions (MD),Metro Area (82),NCHS Urban Rural Classification (2006),NCHS Urban Rural Classification (2013),Border 32 (La Paz Agreement),Border 15
 Howard ,227, 114 ,9,9/10,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Hudspeth ,229, 115 ,10,9/10,El Paso,--,Metro,Noncore,Medium Metro,Border,Border
 Hunt ,231, 116 ,3,2/3,Dallas-Fort Worth-Arlington,Dallas-Plano-Irving MD,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
 Hutchinson ,233, 117 ,1,1,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Irion ,235, 118 ,9,9/10,San Angelo,--,Metro,Small Metro,Small Metro,Non-Border,Non-Border
 Jack ,237, 119 ,2,2/3,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Jackson ,239, 120 ,8,8,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Jasper ,241, 121 ,5,4/5N,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Jeff Davis ,243, 122 ,10,9/10,--,--,Non-Metro,Noncore,Non-core,Border,Border
 Jefferson ,245, 123 ,5,6/5S,Beaumont-Port Arthur,--,Metro,Medium Metro,Medium Metro,Non-Border,Non-Border
 Jim Hogg ,247, 124 ,11,11,--,--,Non-Metro,Noncore,Non-core,Border,Non-Border
 Jim Wells ,249, 125 ,11,11,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Johnson ,251, 126 ,3,2/3,Dallas-Fort Worth-Arlington,Fort Worth-Arlington MD,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
 Jones ,253, 127 ,2,2/3,Abilene,--,Metro,Small Metro,Small Metro,Non-Border,Non-Border
 Karnes ,255, 128 ,8,8,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Kaufman ,257, 129 ,3,2/3,Dallas-Fort Worth-Arlington,Dallas-Plano-Irving MD,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
 Kendall ,259, 130 ,8,8,San Antonio-New Braunfels,--,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
 Kenedy ,261, 131 ,11,11,--,--,Non-Metro,Micropolitan,Micropolitan,Border,Non-Border
 Kent ,263, 132 ,2,2/3,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Kerr ,265, 133 ,8,8,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Kimble ,267, 134 ,9,9/10,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 King ,269, 135 ,1,1,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Kinney ,271, 136 ,8,8,--,--,Non-Metro,Noncore,Non-core,Border,Border
 Kleberg ,273, 137 ,11,11,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Knox ,275, 138 ,2,2/3,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Lamar ,277, 139 ,4,4/5N,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Lamb ,279, 140 ,1,1,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Lampasas ,281, 141 ,7,7,Killeen-Temple,--,Metro,Medium Metro,Medium Metro,Non-Border,Non-Border
 La Salle ,283, 142 ,8,8,--,--,Non-Metro,Noncore,Non-core,Border,Non-Border
 Lavaca ,285, 143 ,8,8,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Lee ,287, 144 ,7,7,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
